,Ticker,Shares,Currency
1,COST,185.20325716973502,USD
2,AAPL,576.5215283633971,USD
3,ORCL,942.1229715867196,USD
4,GWO.TO,1719.2813350846077,CAD
5,GOOG,198.0932471417016,USD
6,CSCO,566.1796632789578,USD
7,IBM,176.4431637714098,USD
8,AMZN,186.5915758263657,USD
9,SLB,520.5408679851972,USD
10,CMCSA,643.0354082739793,USD
